Port
8080
80
52736
52712
52721
52714
52883
7275
7399
21
22
7831
8081
7945
7943
8087
8088
8018
8153
53715
7286
7232
7245
7375
7380
7381
7414
7412
7454
7498
7478
7642
7492
7493
7526
7540
53879
7926
8013
8005
7813
8070
8130
8190
8310
8337
8319
8380
0
51745
51744
52321
52182
52208
52319
52349
52362
52348
52369
52726
1846
52885
52901
52907
52950
53007
52998
2749
2743
2764
2957
2973
2977
3008
3046
2964
3003
51674
51639
51815
51731
3394
3387
3393
3639
52248
52281
52335
3648
52300
4196
4208
4209
4200
4210
4080
4089
4188
4262
4285
4267
4177
4290
4291
4271
4199
4204
4304
4303
4307
4302
4306
4305
4300
4308
4301
52732
52784
51750
51713
51765
51739
51738
51780
51808
52801
52275
52279
52291
52378
52718
52755
52750
52939
52958
52970
52969
7407
7971
7969
7957
8103
1917
2746
2862
2861
2754
2828
2851
2855
2903
2918
2796
2808
2761
2934
2974
2989
2988
2840
3009
3010
3019
2985
3052
3051
3049
3060
2970
3082
3653
3660
1964
51627
51720
51737
51788
2698
52173
